#  kcut[h kpc^-1]= 10
#  M [Msol]   sigmaM   dlogsigmaM/dlogM 
  3.981071705534977e-7  4.703436923032538  0.
  5.011872336272736e-7  4.703436923032538  0.
  6.309573444801956e-7  4.703436923032538  0.
  7.943282347242822e-7  4.703436923032538  0.
  1.e-6  4.703436923032538  0.
  1.2589254117941687e-6  4.703436923032538  0.
  1.5848931924611175e-6  4.703436923032538  0.
  1.995262314968883e-6  4.703436923032538  0.
  2.5118864315095874e-6  4.703436923032538  0.
  3.162277660168386e-6  4.703436923032538  0.
  3.981071705534978e-6  4.703436923032538  0.
  5.011872336272725e-6  4.703436923032538  0.
  6.309573444801943e-6  4.703436923032538  0.
  7.943282347242837e-6  4.703436923032538  0.
  0.00001  4.703436923032538  0.
  0.000012589254117941714  4.703436923032538  0.
  0.00001584893192461114  4.703436923032538  0.
  0.00001995262314968883  4.703436923032538  0.
  0.000025118864315095822  4.703436923032538  0.
  0.000031622776601683856  4.703436923032538  0.
  0.000039810717055349776  4.703436923032538  0.
  0.00005011872336272735  4.703436923032538  0.
  0.00006309573444801943  4.703436923032538  0.
  0.00007943282347242822  4.703436923032538  0.
  0.0001  4.703436923032538  0.
  0.00012589254117941688  4.703436923032538  0.
  0.00015848931924611174  4.703436923032538  0.
  0.0001995262314968881  4.703436923032538  0.
  0.0002511886431509585  4.703436923032538  0.
  0.00031622776601683826  4.703436923032538  0.
  0.00039810717055349773  4.703436923032538  0.
  0.0005011872336272725  4.703436923032538  0.
  0.0006309573444801943  4.703436923032538  0.
  0.0007943282347242829  4.703436923032538  0.
  0.001  4.703436923032538  0.
  0.0012589254117941688  4.703436923032538  0.
  0.0015848931924611158  4.703436923032538  0.
  0.0019952623149688807  4.703436923032538  0.
  0.002511886431509582  4.703436923032538  0.
  0.0031622776601683824  4.703436923032538  0.
  0.003981071705534973  4.703436923032538  0.
  0.005011872336272725  4.703436923032538  0.
  0.006309573444801936  4.703436923032538  0.
  0.00794328234724282  4.703436923032538  0.
  0.01  4.703436923032538  0.
  0.012589254117941687  4.703436923032538  0.
  0.015848931924611148  4.703436923032538  0.
  0.01995262314968881  4.703436923032538  0.
  0.025118864315095822  4.703436923032538  0.
  0.03162277660168381  4.703436923032538  0.
  0.039810717055349755  4.703436923032538  0.
  0.05011872336272725  4.703436923032538  0.
  0.06309573444801933  4.703436923032538  0.
  0.07943282347242818  4.703436923032538  0.
  0.1  4.703436923032538  0.
  0.12589254117941673  4.703436923032538  0.
  0.15848931924611134  4.703436923032538  0.
  0.19952623149688797  4.703436923032538  0.
  0.251188643150958  4.703436923032538  0.
  0.31622776601683794  4.703436923032538  0.
  0.3981071705534972  4.703436923032538  0.
  0.5011872336272722  4.703436923032538  0.
  0.6309573444801932  4.703436923032538  0.
  0.7943282347242815  4.703436923032538  0.
  1.  4.703436923032538  0.
  1.2589254117941673  4.703436923032538  0.
  1.5848931924611136  4.703436923032538  0.
  1.9952623149688795  4.703436923032538  0.
  2.51188643150958  4.703436923032538  0.
  3.1622776601683795  4.703436923032538  0.
  3.9810717055349722  4.703436923032538  0.
  5.011872336272722  4.703436923032538  0.
  6.309573444801933  4.703436923032538  0.
  7.943282347242816  4.703436923032538  0.
  10.  4.703436923032538  0.
  12.589254117941667  4.703436923032538  0.
  15.848931924611133  4.703436923032538  0.
  19.952623149688787  4.703436923032538  0.
  25.118864315095784  4.703436923032538  0.
  31.62277660168378  4.703436923032538  0.
  39.81071705534969  4.703436923032538  0.
  50.118723362727195  4.703436923032538  0.
  63.09573444801933  4.703436923032538  0.
  79.43282347242805  4.703436923032538  0.
  100.  4.703436923032538  0.
  125.89254117941661  4.703436923032538  0.
  158.48931924611125  4.703436923032538  0.
  199.52623149688787  4.703436923032538  0.
  251.18864315095797  4.703436923032538  0.
  316.2277660168376  4.703436923032538  0.
  398.1071705534969  4.703436923032538  0.
  501.18723362727195  4.703436923032538  0.
  630.9573444801923  4.703436923032538  0.
  794.3282347242805  4.703436923032538  0.
  1000.  4.703436923032538  0.
  1258.9254117941648  4.703436923032538  0.
  1584.8931924611109  4.703436923032538  0.
  1995.2623149688768  4.703436923032538  0.
  2511.886431509577  4.703436923032538  0.
  3162.2776601683763  4.703436923032538  0.
  3981.071705534965  4.703436923032538  0.
